FID,Id,ORIG_FID,zone,Priority,Latitude,Longitude
0,0,0,Grid,Medium,20.604434781900000,83.983071501300003
1,0,1,Grid,Medium,20.609098055899999,83.994254186099994
2,0,2,River,High,20.597741434300001,84.047901183999997
3,0,3,Grid,Medium,20.598208592100001,84.084087489599995
4,0,4,Grid,Medium,20.595158349700000,84.122477300800000
5,0,5,Grid,Medium,20.595926848700000,84.154348231200004
6,0,6,Grid,Medium,20.595318070800001,84.196947133699993
7,0,7,River,High,20.595490896800001,84.228397293599997
8,0,8,Grid,Medium,20.601866341499999,84.253583191199994
9,0,9,River,High,20.636853376400001,83.941093569900005
10,0,10,Grid,Medium,20.640793102600000,83.972629225099993
11,0,11,Grid,Medium,20.630174628799999,84.014389515299996
12,0,12,Grid,Medium,20.627000301999999,84.048441266699996
13,0,13,River,High,20.625910361999999,84.085450318900001
14,0,14,River,High,20.624892623400001,84.122553687500002
15,0,15,River,High,20.623865687300000,84.159656484099997
16,0,16,River,High,20.622829553999999,84.196758703599997
17,0,17,River,High,20.621784223599999,84.233860340899994
18,0,18,Grid,Medium,20.624857836400000,84.259904656000003
19,0,19,Grid,Medium,20.647816351800000,83.985627896300002
20,0,20,River,High,20.663112532400000,84.013669552799996
21,0,21,River,High,20.661850049400002,84.049413078100002
22,0,22,River,High,20.660841211600001,84.086526779099998
23,0,23,River,High,20.659823173400000,84.123639912700000
24,0,24,River,High,20.658795935000001,84.160752474000006
25,0,25,Lineament-River,Very High,20.657759496499999,84.197864457700007
26,0,26,River,High,20.656713858400000,84.234975858799999
27,0,27,Grid,Medium,20.654429287399999,84.265168943899994
28,0,28,Grid,Medium,20.713934830900001,83.993856407400003
29,0,29,River,High,20.698057914900001,84.014546241500000
30,0,30,Lineament-River,Very High,20.696782264500001,84.050480334800000
31,0,31,Lineament-River,Very High,20.695773129999999,84.087603806499999
32,0,32,Lineament-River,Very High,20.694754792400001,84.124726710399997
33,0,33,Lineament,High,20.693727251799999,84.161849041400004
34,0,34,Lineament-River,Very High,20.692690508500000,84.198970794499999
35,0,35,River,High,20.691644562800001,84.236091964500005
36,0,36,River,High,20.682154613200002,84.261951997699995
37,0,37,River,High,20.737256244200001,83.989541402800000
38,0,38,Grid,Medium,20.732715760300000,84.014414343599995
39,0,39,Lineament,High,20.731715535399999,84.051548154100004
40,0,40,Lineament,High,20.730706104399999,84.088681401599999
41,0,41,Grid,Medium,20.729687467500000,84.125814080900000
42,0,42,Grid,Medium,20.728659624999999,84.162946186900001
43,0,43,Lineament-River,Very High,20.727622577100000,84.200077714399995
44,0,44,Lineament-River,Very High,20.726576324000000,84.237208658399993
45,0,45,River,High,20.727679300799998,84.264440898000004
46,0,46,River,High,20.777166281100001,83.956582218999998
47,0,47,River,High,20.769465934599999,83.979222672899994
48,0,48,River,High,20.767650367700000,84.015472944500004
49,0,49,Lineament-River,Very High,20.766649849299998,84.052616536399995
50,0,50,Lineament-River,Very High,20.765640122000001,84.089759564800005
51,0,51,River,High,20.764621186100001,84.126902024600000
52,0,52,Grid,Medium,20.763593041800000,84.164043910700002
53,0,53,River,High,20.762555689500001,84.201185217900004
54,0,54,River,High,20.760600090400001,84.237468574399998
55,0,55,River,High,20.757607799300001,84.263818603399997
56,0,56,River,High,20.807279090200002,83.956751596399997
57,0,57,Grid,Medium,20.803577605299999,83.979378166399997
58,0,58,River,High,20.802586005199998,84.016532103599999
59,0,59,Lineament-River,Very High,20.801585193299999,84.053685482099993
60,0,60,River,High,20.800575169900000,84.090838296699999
61,0,61,River,High,20.799555935299999,84.127990542199996
62,0,62,River,High,20.798527489500000,84.165142213500005
63,0,63,River,High,20.797489833000000,84.202293305500007
64,0,64,River,High,20.797895179699999,84.235793304100000
65,0,65,Grid,Medium,20.827053292399999,83.956791216799999
66,0,66,River,High,20.830969692000000,83.980919575000001
67,0,67,Grid,Medium,20.829238400500000,84.012612673800007
68,0,68,River,High,20.823681662300000,84.060943734199995
69,0,69,River,High,20.826580764700001,84.093089386700001
70,0,70,Grid,Medium,20.832935283499999,84.130424172900007
71,0,71,River,High,20.833462955300000,84.166241095600000
72,0,72,Grid,Medium,20.832424994800000,84.203401977499993
73,0,73,River,High,20.831452876200000,84.240483252199994
74,0,74,River,High,20.833456541099999,84.277920619400007
75,0,75,River,High,20.834175418299999,84.306261960499995
76,0,76,Grid,Medium,20.856310455999999,84.142263076299997
77,0,77,River,High,20.863588018100000,84.169960909099999
78,0,78,Grid,Medium,20.867361162200002,84.204511234500004
79,0,79,Grid,Medium,20.866313681899999,84.241681326099993
80,0,80,River,High,20.861709378499999,84.276903138700007
81,0,81,River,High,20.853353565999999,84.306973696000000
82,0,82,River,High,20.885547570699998,84.186274304500003
83,0,83,River,High,20.889437401599999,84.209079446700002
84,0,84,Grid,Medium,20.888792520399999,84.237668454399994
85,0,85,Grid,Medium,20.883336134600000,84.261066712900003
